"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","phylum","below_phylum","subphylum","class","subclass","below_subclass","order","below_order","family","genus","below_genus","species","below_species","below_below_species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","",""
"33630","2759","below_superkingdom","Alveolata","1","131567","2759","33630","","","","","","","","","","","","","","","",""
"61964","2759","below_superkingdom","environmental samples","1","131567","2759","61964","","","","","","","","","","","","","","","",""
"5878","33630","below_below_superkingdom","Ciliophora","1","131567","2759","33630","5878","","","","","","","","","","","","","","",""
"27997","33630","below_below_superkingdom","Perkinsea","1","131567","2759","33630","27997","","","","","","","","","","","","","","",""
"187298","5878","below_below_below_superkingdom","environmental samples","1","131567","2759","33630","5878","187298","","","","","","","","","","","","","",""
"5794","33630","phylum","Apicomplexa","1","131567","2759","33630","","","5794","","","","","","","","","","","","",""
"877183","33630","phylum","Chromerida","1","131567","2759","33630","","","877183","","","","","","","","","","","","",""
"1280412","5794","below_phylum","Conoidasida","1","131567","2759","33630","","","5794","1280412","","","","","","","","","","","",""
"431838","5878","subphylum","Intramacronucleata","1","131567","2759","33630","5878","","","","431838","","","","","","","","","","",""
"431837","5878","subphylum","Postciliodesmatophora","1","131567","2759","33630","5878","","","","431837","","","","","","","","","","",""
"5977","431838","class","Colpodea","1","131567","2759","33630","5878","","","","431838","5977","","","","","","","","","",""
"2864","33630","class","Dinophyceae","1","131567","2759","33630","","","","","","2864","","","","","","","","","",""
"35086","1280412","class","Gregarinasina","1","131567","2759","33630","","","5794","1280412","","35086","","","","","","","","","",""
"194287","431837","class","Heterotrichea","1","131567","2759","33630","5878","","","","431837","194287","","","","","","","","","",""
"5988","431838","class","Litostomatea","1","131567","2759","33630","5878","","","","431838","5988","","","","","","","","","",""
"6020","431838","class","Oligohymenophorea","1","131567","2759","33630","5878","","","","431838","6020","","","","","","","","","",""
"6000","431838","class","Prostomatea","1","131567","2759","33630","5878","","","","431838","6000","","","","","","","","","",""
"33829","431838","class","Spirotrichea","1","131567","2759","33630","5878","","","","431838","33829","","","","","","","","","",""
"141411","33829","subclass","Choreotrichia","1","131567","2759","33630","5878","","","","431838","33829","141411","","","","","","","","",""
"197905","5988","subclass","Haptoria","1","131567","2759","33630","5878","","","","431838","5988","197905","","","","","","","","",""
"5934","33829","subclass","Hypotrichia","1","131567","2759","33630","5878","","","","431838","33829","5934","","","","","","","","",""
"211030","33829","subclass","Oligotrichia","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","","","","","",""
"194288","33829","subclass","Protocruziidia","1","131567","2759","33630","5878","","","","431838","33829","194288","","","","","","","","",""
"35094","6020","subclass","Scuticociliatia","1","131567","2759","33630","5878","","","","431838","6020","35094","","","","","","","","",""
"194286","33829","subclass","Stichotrichia","1","131567","2759","33630","5878","","","","431838","33829","194286","","","","","","","","",""
"333946","35094","below_subclass","unclassified Scuticociliatia","1","131567","2759","33630","5878","","","","431838","6020","35094","333946","","","","","","","",""
"200605","141411","order","Choreotrichida","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","","","","","",""
"197907","197905","order","Cyclotrichida","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","","","","","",""
"88560","5977","order","Cyrtolophosidida","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","","","","","",""
"447211","2864","order","Dinophysiales","1","131567","2759","33630","","","","","","2864","","","447211","","","","","","",""
"35087","35086","order","Eugregarinorida","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","","","","","",""
"33831","5934","order","Euplotida","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","","","","","",""
"40984","2864","order","Gonyaulacales","1","131567","2759","33630","","","","","","2864","","","40984","","","","","","",""
"2953","2864","order","Gymnodiniales","1","131567","2759","33630","","","","","","2864","","","2953","","","","","","",""
"5957","194287","order","Heterotrichida","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","","","","","",""
"31277","6020","order","Hymenostomatida","1","131567","2759","33630","5878","","","","431838","6020","","","31277","","","","","","",""
"2964","2864","order","Noctilucales","1","131567","2759","33630","","","","","","2864","","","2964","","","","","","",""
"1239064","2864","order","Oxyrrhinales","1","131567","2759","33630","","","","","","2864","","","1239064","","","","","","",""
"2910","2864","order","Peridiniales","1","131567","2759","33630","","","","","","2864","","","2910","","","","","","",""
"27998","27997","order","Perkinsida","1","131567","2759","33630","27997","","","","","","","","27998","","","","","","",""
"198613","35094","order","Philasterida","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","","","","","",""
"197906","197905","order","Pleurostomatida","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","","","","","",""
"2942","2864","order","Prorocentrales","1","131567","2759","33630","","","","","","2864","","","2942","","","","","","",""
"6001","6000","order","Prorodontida","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","","","","","",""
"2970","2864","order","Pyrocystales","1","131567","2759","33630","","","","","","2864","","","2970","","","","","","",""
"89954","2864","order","Suessiales","1","131567","2759","33630","","","","","","2864","","","89954","","","","","","",""
"88547","2864","order","Syndiniales","1","131567","2759","33630","","","","","","2864","","","88547","","","","","","",""
"200604","141411","order","Tintinnida","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","","","","","",""
"486728","194286","order","Urostylida","1","131567","2759","33630","5878","","","","431838","33829","194286","","486728","","","","","","",""
"37093","31277","below_order","Tetrahymenina","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","","","","","",""
"88548","88547","family","Amoebophryaceae","1","131567","2759","33630","","","","","","2864","","","88547","","88548","","","","",""
"1123714","40984","family","Amphidomataceae","1","131567","2759","33630","","","","","","2864","","","40984","","1123714","","","","",""
"219171","5957","family","Blepharismidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219171","","","","",""
"39451","40984","family","Ceratiaceae","1","131567","2759","33630","","","","","","2864","","","40984","","39451","","","","",""
"219173","5957","family","Climacostomidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219173","","","","",""
"6002","6001","family","Colepidae","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","6002","","","","",""
"219172","5957","family","Condylostomatidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219172","","","","",""
"39452","40984","family","Crypthecodiniaceae","1","131567","2759","33630","","","","","","2864","","","40984","","39452","","","","",""
"47932","447211","family","Dinophysiaceae","1","131567","2759","33630","","","","","","2864","","","447211","","47932","","","","",""
"1333875","2910","family","Endodiniaceae","1","131567","2759","33630","","","","","","2864","","","2910","","1333875","","","","",""
"100127","33831","family","Euplotidae","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","","","","",""
"1502944","5957","family","Fabreidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","1502944","","","","",""
"1129376","40984","family","Goniodomataceae","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","","","","",""
"33834","40984","family","Gonyaulacaceae","1","131567","2759","33630","","","","","","2864","","","40984","","33834","","","","",""
"66801","2953","family","Gymnodiniaceae","1","131567","2759","33630","","","","","","2864","","","2953","","66801","","","","",""
"66802","2910","family","Heterocapsaceae","1","131567","2759","33630","","","","","","2864","","","2910","","66802","","","","",""
"1003176","2953","family","Kareniaceae","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","","","","",""
"158377","35087","family","Lecudinidae","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","158377","","","","",""
"197908","197906","family","Litonotidae","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","197908","","","","",""
"283645","197907","family","Mesodiniidae","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","","","","",""
"66804","2964","family","Noctilucaceae","1","131567","2759","33630","","","","","","2864","","","2964","","66804","","","","",""
"106394","198613","family","Orchitophryidae","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","106394","","","","",""
"174810","1239064","family","Oxyrrhinaceae","1","131567","2759","33630","","","","","","2864","","","1239064","","174810","","","","",""
"66803","2910","family","Peridiniaceae","1","131567","2759","33630","","","","","","2864","","","2910","","66803","","","","",""
"27999","27998","family","Perkinsidae","1","131567","2759","33630","27997","","","","","","","","27998","","27999","","","","",""
"767765","88560","family","Platyophryidae","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","767765","","","","",""
"210731","2910","family","Podolampaceae","1","131567","2759","33630","","","","","","2864","","","2910","","210731","","","","",""
