"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","phylum","class","below_class","below_below_class","subclass","below_subclass","order","family","genus","below_genus","species","below_species"
"1","1","root","root","1","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","",""
"33634","2759","below_superkingdom","Stramenopiles","1","131567","2759","33634","","","","","","","","","","","",""
"2836","33634","phylum","Bacillariophyta","1","131567","2759","33634","2836","","","","","","","","","","",""
"5747","33634","phylum","Eustigmatophyceae","1","131567","2759","33634","5747","","","","","","","","","","",""
"33849","2836","class","Bacillariophyceae","1","131567","2759","33634","2836","33849","","","","","","","","","",""
"33836","2836","class","Coscinodiscophyceae","1","131567","2759","33634","2836","33836","","","","","","","","","",""
"33853","2836","class","Fragilariophyceae","1","131567","2759","33634","2836","33853","","","","","","","","","",""
"589449","2836","class","Mediophyceae","1","131567","2759","33634","2836","589449","","","","","","","","","",""
"33850","33849","below_class","Bacillariophycidae","1","131567","2759","33634","2836","33849","33850","","","","","","","","",""
"33840","33836","below_class","Coscinodiscophycidae","1","131567","2759","33634","2836","33836","33840","","","","","","","","",""
"33854","33853","below_class","Fragilariophycidae","1","131567","2759","33634","2836","33853","33854","","","","","","","","",""
"33843","33836","below_class","Rhizosoleniophycidae","1","131567","2759","33634","2836","33836","33843","","","","","","","","",""
"33846","33836","below_class","Thalassiosirophycidae","1","131567","2759","33634","2836","33836","33846","","","","","","","","",""
"33844","33843","below_below_class","Rhizosoleniales","1","131567","2759","33634","2836","33836","33843","33844","","","","","","","",""
"33837","589449","subclass","Biddulphiophycidae","1","131567","2759","33634","2836","589449","","","33837","","","","","","",""
"420266","33836","subclass","Chaetocerotophycidae","1","131567","2759","33634","2836","33836","","","420266","","","","","","",""
"420268","33836","subclass","Corethrophycidae","1","131567","2759","33634","2836","33836","","","420268","","","","","","",""
"420265","589449","subclass","Cymatosirophycidae","1","131567","2759","33634","2836","589449","","","420265","","","","","","",""
"420270","589449","subclass","Lithodesmiophycidae","1","131567","2759","33634","2836","589449","","","420270","","","","","","",""
"163513","420266","below_subclass","Leptocylindrales","1","131567","2759","33634","2836","33836","","","420266","163513","","","","","",""
"33851","33850","order","Bacillariales","1","131567","2759","33634","2836","33849","33850","","","","33851","","","","",""
"265576","420266","order","Chaetocerotales","1","131567","2759","33634","2836","33836","","","420266","","265576","","","","",""
"420269","420268","order","Corethrales","1","131567","2759","33634","2836","33836","","","420268","","420269","","","","",""
"216785","33840","order","Coscinodiscales","1","131567","2759","33634","2836","33836","33840","","","","216785","","","","",""
"216817","33854","order","Cyclophorales","1","131567","2759","33634","2836","33853","33854","","","","216817","","","","",""
"420262","420265","order","Cymatosirales","1","131567","2759","33634","2836","589449","","","420265","","420262","","","","",""
"33838","33837","order","Eupodiscales","1","131567","2759","33634","2836","589449","","","33837","","33838","","","","",""
"425074","5747","order","Eustigmatales","1","131567","2759","33634","5747","","","","","","425074","","","","",""
"33855","33854","order","Fragilariales","1","131567","2759","33634","2836","33853","33854","","","","33855","","","","",""
"420267","33837","order","Hemiaulales","1","131567","2759","33634","2836","589449","","","33837","","420267","","","","",""
"420271","420270","order","Lithodesmiales","1","131567","2759","33634","2836","589449","","","420270","","420271","","","","",""
"33841","33840","order","Melosirales","1","131567","2759","33634","2836","33836","33840","","","","33841","","","","",""
"38748","33850","order","Naviculales","1","131567","2759","33634","2836","33849","33850","","","","38748","","","","",""
"426672","33854","order","Striatellales","1","131567","2759","33634","2836","33853","33854","","","","426672","","","","",""
"426665","33854","order","Thalassionemales","1","131567","2759","33634","2836","33853","33854","","","","426665","","","","",""
"216758","33850","order","Thalassiophysales","1","131567","2759","33634","2836","33849","33850","","","","216758","","","","",""
"33847","33846","order","Thalassiosirales","1","131567","2759","33634","2836","33836","33846","","","","33847","","","","",""
"232508","33837","order","Triceratiales","1","131567","2759","33634","2836","589449","","","33837","","232508","","","","",""
"265535","38748","family","Amphipleuraceae","1","131567","2759","33634","2836","33849","33850","","","","38748","265535","","","",""
"265577","265576","family","Attheyaceae","1","131567","2759","33634","2836","33836","","","420266","","265576","265577","","","",""
"49232","33840","family","Aulacoseiraceae","1","131567","2759","33634","2836","33836","33840","","","","","49232","","","",""
"33852","33851","family","Bacillariaceae","1","131567","2759","33634","2836","33849","33850","","","","33851","33852","","","",""
"59795","216758","family","Catenulaceae","1","131567","2759","33634","2836","33849","33850","","","","216758","59795","","","",""
"49236","265576","family","Chaetocerotaceae","1","131567","2759","33634","2836","33836","","","420266","","265576","49236","","","",""
"49241","420269","family","Corethraceae","1","131567","2759","33634","2836","33836","","","420268","","420269","49241","","","",""
"38747","216785","family","Coscinodiscaceae","1","131567","2759","33634","2836","33836","33840","","","","216785","38747","","","",""
"216818","216817","family","Cyclophoraceae","1","131567","2759","33634","2836","33853","33854","","","","216817","216818","","","",""
"49244","420262","family","Cymatosiraceae","1","131567","2759","33634","2836","589449","","","420265","","420262","49244","","","",""
"186041","33850","family","Entomoneidaceae","1","131567","2759","33634","2836","33849","33850","","","","","186041","","","",""
"33839","33838","family","Eupodiscaceae","1","131567","2759","33634","2836","589449","","","33837","","33838","33839","","","",""
"33856","33855","family","Fragilariaceae","1","131567","2759","33634","2836","33853","33854","","","","33855","33856","","","",""
"1543679","426672","family","Grammatophoraceae","1","131567","2759","33634","2836","33853","33854","","","","426672","1543679","","","",""
"49250","420267","family","Hemiaulaceae","1","131567","2759","33634","2836","589449","","","33837","","420267","49250","","","",""
"163514","163513","family","Leptocylindraceae","1","131567","2759","33634","2836","33836","","","420266","163513","","163514","","","",""
"210596","33854","family","Licmophoraceae","1","131567","2759","33634","2836","33853","33854","","","","","210596","","","",""
"49247","420271","family","Lithodesmiaceae","1","131567","2759","33634","2836","589449","","","420270","","420271","49247","","","",""
"425072","425074","family","Monodopsidaceae","1","131567","2759","33634","5747","","","","","","425074","425072","","","",""
"38749","38748","family","Phaeodactylaceae","1","131567","2759","33634","2836","33849","33850","","","","38748","38749","","","",""
"33845","33844","family","Rhizosoleniaceae","1","131567","2759","33634","2836","33836","33843","33844","","","","33845","","","",""
"33848","33847","family","Skeletonemataceae","1","131567","2759","33634","2836","33836","33846","","","","33847","33848","","","",""
"265582","38748","family","Stauroneidaceae","1","131567","2759","33634","2836","33849","33850","","","","38748","265582","","","",""
"1365474","33847","family","Stephanodiscaceae","1","131567","2759","33634","2836","33836","33846","","","","33847","1365474","","","",""
"33842","33841","family","Stephanopyxidaceae","1","131567","2759","33634","2836","33836","33840","","","","33841","33842","","","",""
"210450","426672","family","Striatellaceae","1","131567","2759","33634","2836","33853","33854","","","","426672","210450","","","",""
"38755","426665","family","Thalassionemataceae","1","131567","2759","33634","2836","33853","33854","","","","426665","38755","","","",""
"29202","33847","family","Thalassiosiraceae","1","131567","2759","33634","2836","33836","33846","","","","33847","29202","","","",""
"210587","232508","family","Triceratiaceae","1","131567","2759","33634","2836","589449","","","33837","","232508","210587","","","",""
"265536","265535","genus","Amphiprora","1","131567","2759","33634","2836","33849","33850","","","","38748","265535","265536","","",""
"59796","59795","genus","Amphora","1","131567","2759","33634","2836","33849","33850","","","","216758","59795","59796","","",""
"33639","33856","genus","Asterionellopsis","1","131567","2759","33634","2836","33853","33854","","","","33855","33856","33639","","",""
"1246681","216818","genus","Astrosyne","1","131567","2759","33634","2836","33853","33854","","","","216817","216818","1246681","","",""
"265578","265577","genus","Attheya","1","131567","2759","33634","2836","33836","","","420266","","265576","265577","265578","","",""
"49233","49232","genus","Aulacoseira","1","131567","2759","33634","2836","33836","33840","","","","","49232","49233","","",""
"49237","49236","genus","Chaetoceros","1","131567","2759","33634","2836","33836","","","420266","","265576","49236","49237","","",""
"49242","49241","genus","Corethron","1","131567","2759","33634","2836","33836","","","420268","","420269","49241","49242","","",""
"33641","38747","genus","Coscinodiscus","1","131567","2759","33634","2836","33836","33840","","","","216785","38747","33641","","",""
"216819","216818","genus","Cyclophora","1","131567","2759","33634","2836","33853","33854","","","","216817","216818","216819","","",""
"29203","1365474","genus","Cyclotella","1","131567","2759","33634","2836","33836","33846","","","","33847","1365474","29203","","",""
"2852","33852","genus","Cylindrotheca","1","131567","2759","33634","2836","33849","33850","","","","33851","33852","2852","","",""
"1118494","33845","genus","Dactyliosolen","1","131567","2759","33634","2836","33836","33843","33844","","","","33845","1118494","","",""
"83370","29202","genus","Detonula","1","131567","2759","33634","2836","33836","33846","","","","33847","29202","83370","","",""
