"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","phylum","below_phylum","below_below_phylum","class","below_class","below_below_class","below_below_below_class","order","below_order","below_below_order","family","below_family","below_below_family","genus","species_group","species","below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","2","1783270","","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","2","1783257","","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","2","1783272","","","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","","","","","","","","","","","","","","","","","","",""
"1798711","1783272","below_below_superkingdom","Cyanobacteria/Melainabacteria group","1","131567","2","1783272","1798711","","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","2","1783272","","201174","","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","1783270","68336","976","","","","","","","","","","","","","","","","","",""
"62680","1783270","phylum","Candidatus Marinimicrobia","1","131567","2","1783270","","62680","","","","","","","","","","","","","","","","","",""
"1117","1798711","phylum","Cyanobacteria","1","131567","2","1783272","1798711","1117","","","","","","","","","","","","","","","","","",""
"256845","1783257","phylum","Lentisphaerae","1","131567","2","1783257","","256845","","","","","","","","","","","","","","","","","",""
"203682","1783257","phylum","Planctomycetes","1","131567","2","1783257","","203682","","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","1224","","","","","","","","","","","","","","","","","",""
"74201","1783257","phylum","Verrucomicrobia","1","131567","2","1783257","","74201","","","","","","","","","","","","","","","","","",""
"50742","976","below_phylum","environmental samples","1","131567","2","1783270","68336","976","50742","","","","","","","","","","","","","","","","",""
"326457","74201","below_phylum","unclassified Verrucomicrobia","1","131567","2","1783257","","74201","326457","","","","","","","","","","","","","","","","",""
"417295","326457","below_below_phylum","unclassified Verrucomicrobia (miscellaneous)","1","131567","2","1783257","","74201","326457","417295","","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","1783272","","201174","","","1760","","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","1224","","","28211","","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","1224","","","28216","","","","","","","","","","","","","","",""
"768503","976","class","Cytophagia","1","131567","2","1783270","68336","976","","","768503","","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","1783270","68336","976","","","117743","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","","1236","","","","","","","","","","","","","","",""
"1313211","256845","class","Lentisphaeria","1","131567","2","1783257","","256845","","","1313211","","","","","","","","","","","","","","",""
"203683","203682","class","Planctomycetia","1","131567","2","1783257","","203682","","","203683","","","","","","","","","","","","","","",""
"117747","976","class","Sphingobacteriia","1","131567","2","1783270","68336","976","","","117747","","","","","","","","","","","","","","",""
"52018","1760","below_class","unclassified Actinobacteria (class)","1","131567","2","1783272","","201174","","","1760","52018","","","","","","","","","","","","","",""
"82117","28211","below_class","unclassified Alphaproteobacteria","1","131567","2","","","1224","","","28211","82117","","","","","","","","","","","","","",""
"117744","117743","below_class","unclassified Flavobacteriia","1","131567","2","1783270","68336","976","","","117743","117744","","","","","","","","","","","","","",""
"118884","1236","below_class","unclassified Gammaproteobacteria","1","131567","2","","","1224","","","1236","118884","","","","","","","","","","","","","",""
"62654","82117","below_below_class","SAR116 cluster","1","131567","2","","","1224","","","28211","82117","62654","","","","","","","","","","","","",""
"62672","118884","below_below_class","SAR86 cluster","1","131567","2","","","1224","","","1236","118884","62672","","","","","","","","","","","","",""
"78537","52018","below_below_class","unclassified Actinobacteria (class) (miscellaneous)","1","131567","2","1783272","","201174","","","1760","52018","78537","","","","","","","","","","","","",""
"33807","82117","below_below_class","unclassified Alphaproteobacteria (miscellaneous)","1","131567","2","","","1224","","","28211","82117","33807","","","","","","","","","","","","",""
"33811","118884","below_below_class","unclassified Gammaproteobacteria (miscellaneous)","1","131567","2","","","1224","","","1236","118884","33811","","","","","","","","","","","","",""
"909942","62654","below_below_below_class","unclassified SAR116 cluster","1","131567","2","","","1224","","","28211","82117","62654","909942","","","","","","","","","","","",""
"135622","1236","order","Alteromonadales","1","131567","2","","","1224","","","1236","","","","135622","","","","","","","","","","",""
"80840","28216","order","Burkholderiales","1","131567","2","","","1224","","","28216","","","","80840","","","","","","","","","","",""
"1706369","1236","order","Cellvibrionales","1","131567","2","","","1224","","","1236","","","","1706369","","","","","","","","","","",""
"135613","1236","order","Chromatiales","1","131567","2","","","1224","","","1236","","","","135613","","","","","","","","","","",""
"768507","768503","order","Cytophagales","1","131567","2","1783270","68336","976","","","768503","","","","768507","","","","","","","","","","",""
"200644","117743","order","Flavobacteriales","1","131567","2","1783270","68336","976","","","117743","","","","200644","","","","","","","","","","",""
"278081","1313211","order","Lentisphaerales","1","131567","2","1783257","","256845","","","1313211","","","","278081","","","","","","","","","","",""
"206350","28216","order","Methylophilales","1","131567","2","","","1224","","","28216","","","","206350","","","","","","","","","","",""
"85006","1760","order","Micrococcales","1","131567","2","1783272","","201174","","","1760","","","","85006","","","","","","","","","","",""
"135619","1236","order","Oceanospirillales","1","131567","2","","","1224","","","1236","","","","135619","","","","","","","","","","",""
"54526","28211","order","Pelagibacterales","1","131567","2","","","1224","","","28211","","","","54526","","","","","","","","","","",""
"112","203683","order","Planctomycetales","1","131567","2","1783257","","203682","","","203683","","","","112","","","","","","","","","","",""
"356","28211","order","Rhizobiales","1","131567","2","","","1224","","","28211","","","","356","","","","","","","","","","",""
"204455","28211","order","Rhodobacterales","1","131567","2","","","1224","","","28211","","","","204455","","","","","","","","","","",""
"200666","117747","order","Sphingobacteriales","1","131567","2","1783270","68336","976","","","117747","","","","200666","","","","","","","","","","",""
"204457","28211","order","Sphingomonadales","1","131567","2","","","1224","","","28211","","","","204457","","","","","","","","","","",""
"1890424","1117","order","Synechococcales","1","131567","2","1783272","1798711","1117","","","","","","","1890424","","","","","","","","","","",""
"72273","1236","order","Thiotrichales","1","131567","2","","","1224","","","1236","","","","72273","","","","","","","","","","",""
"135623","1236","order","Vibrionales","1","131567","2","","","1224","","","1236","","","","135623","","","","","","","","","","",""
"313602","200644","below_order","unclassified Flavobacteriales","1","131567","2","1783270","68336","976","","","117743","","","","200644","313602","","","","","","","","","",""
"383630","206350","below_order","unclassified Methylophilales","1","131567","2","","","1224","","","28216","","","","206350","383630","","","","","","","","","",""
"376625","135619","below_order","unclassified Oceanospirillales","1","131567","2","","","1224","","","1236","","","","135619","376625","","","","","","","","","",""
"285892","204455","below_order","unclassified Rhodobacterales","1","131567","2","","","1224","","","28211","","","","204455","285892","","","","","","","","","",""
"1233498","383630","below_below_order","OM43 clade","1","131567","2","","","1224","","","28216","","","","206350","383630","1233498","","","","","","","","",""
"403978","313602","below_below_order","unclassified Flavobacteriales (miscellaneous)","1","131567","2","1783270","68336","976","","","117743","","","","200644","313602","403978","","","","","","","","",""
"439484","376625","below_below_order","unclassified Oceanospirillales (miscellaneous)","1","131567","2","","","1224","","","1236","","","","135619","376625","439484","","","","","","","","",""
"224372","135619","family","Alcanivoracaceae","1","131567","2","","","1224","","","1236","","","","135619","","","224372","","","","","","","",""
"72275","135622","family","Alteromonadaceae","1","131567","2","","","1224","","","1236","","","","135622","","","72275","","","","","","","",""
"255475","356","family","Aurantimonadaceae","1","131567","2","","","1224","","","28211","","","","356","","","255475","","","","","","","",""
"1706371","1706369","family","Cellvibrionaceae","1","131567","2","","","1224","","","1236","","","","1706369","","","1706371","","","","","","","",""
"1046","135613","family","Chromatiaceae","1","131567","2","","","1224","","","1236","","","","135613","","","1046","","","","","","","",""
"80864","80840","family","Comamonadaceae","1","131567","2","","","1224","","","28216","","","","80840","","","80864","","","","","","","",""
"89373","768507","family","Cytophagaceae","1","131567","2","1783270","68336","976","","","768503","","","","768507","","","89373","","","","","","","",""
"335929","204457","family","Erythrobacteraceae","1","131567","2","","","1224","","","28211","","","","204457","","","335929","","","","","","","",""
"49546","200644","family","Flavobacteriaceae","1","131567","2","1783270","68336","976","","","117743","","","","200644","","","49546","","","","","","","",""
