"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","class","below_class","order","family","genus","species","below_species"
"1","1","root","root","1","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","",""
"3027","2759","class","Cryptophyta","1","131567","2759","3027","","","","","",""
"301223","3027","below_class","unclassified Cryptophyta","1","131567","2759","3027","301223","","","","",""
"589350","3027","order","Cryptomonadales","1","131567","2759","3027","","589350","","","",""
"589342","3027","order","Pyrenomonadales","1","131567","2759","3027","","589342","","","",""
"589345","589342","family","Chroomonadaceae","1","131567","2759","3027","","589342","589345","","",""
"2896","589350","family","Cryptomonadaceae","1","131567","2759","3027","","589350","2896","","",""
"589343","589342","family","Geminigeraceae","1","131567","2759","3027","","589342","589343","","",""
"31323","589350","family","Goniomonadaceae","1","131567","2759","3027","","589350","31323","","",""
"589351","589350","family","Hemiselmidaceae","1","131567","2759","3027","","589350","589351","","",""
"589344","589342","family","Pyrenomonadaceae","1","131567","2759","3027","","589342","589344","","",""
"3028","589345","genus","Chroomonas","1","131567","2759","3027","","589342","589345","3028","",""
"3030","2896","genus","Cryptomonas","1","131567","2759","3027","","589350","2896","3030","",""
"46946","589343","genus","Geminigera","1","131567","2759","3027","","589342","589343","46946","",""
"31324","31323","genus","Goniomonas","1","131567","2759","3027","","589350","31323","31324","",""
"55528","589343","genus","Guillardia","1","131567","2759","3027","","589342","589343","55528","",""
"179400","589343","genus","Hanusia","1","131567","2759","3027","","589342","589343","179400","",""
"77924","589351","genus","Hemiselmis","1","131567","2759","3027","","589350","589351","77924","",""
"96335","589343","genus","Proteomonas","1","131567","2759","3027","","589342","589343","96335","",""
"37096","589344","genus","Rhodomonas","1","131567","2759","3027","","589342","589344","37096","",""
"195065","3028","species","Chroomonas mesostigmatica","1","131567","2759","3027","","589342","589345","3028","195065",""
"233186","3030","species","Cryptomonas curvata","1","131567","2759","3027","","589350","2896","3030","233186",""
"2898","3030","species","Cryptomonas paramecium","1","131567","2759","3027","","589350","2896","3030","2898",""
"697907","301223","species","Cryptophyceae sp. CCMP2293","1","131567","2759","3027","301223","","","","697907",""
"46947","46946","species","Geminigera cryophila","1","131567","2759","3027","","589342","589343","46946","46947",""
"195067","31324","species","Goniomonas pacifica","1","131567","2759","3027","","589350","31323","31324","195067",""
"55529","55528","species","Guillardia theta","1","131567","2759","3027","","589342","589343","55528","55529",""
"3032","179400","species","Hanusia phi","1","131567","2759","3027","","589342","589343","179400","3032",""
"464988","77924","species","Hemiselmis andersenii","1","131567","2759","3027","","589350","589351","77924","464988",""
"77926","77924","species","Hemiselmis rufescens","1","131567","2759","3027","","589350","589351","77924","77926",""
"464990","77924","species","Hemiselmis tepida","1","131567","2759","3027","","589350","589351","77924","464990",""
"77927","77924","species","Hemiselmis virescens","1","131567","2759","3027","","589350","589351","77924","77927",""
"77928","96335","species","Proteomonas sulcata","1","131567","2759","3027","","589342","589343","96335","77928",""
"46948","37096","species","Rhodomonas abbreviata","1","131567","2759","3027","","589342","589344","37096","46948",""
"354590","37096","species","Rhodomonas lens","1","131567","2759","3027","","589342","589344","37096","354590",""
"52970","37096","species","Rhodomonas salina","1","131567","2759","3027","","589342","589344","37096","52970",""
"302021","37096","species","Rhodomonas sp. CCMP768","1","131567","2759","3027","","589342","589344","37096","302021",""
"905079","55529","below_species","Guillardia theta CCMP2712","1","131567","2759","3027","","589342","589343","55528","55529","905079"
