"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","order","below_order","family","genus","species","below_species"
"1","1","root","root","1","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","",""
"2830","2759","below_superkingdom","Haptophyceae","1","131567","2759","2830","","","","","","",""
"1538618","2830","below_below_superkingdom","Haptophyta incertae sedis","1","131567","2759","2830","1538618","","","","","",""
"418917","2830","order","Coccolithales","1","131567","2759","2830","","418917","","","","",""
"73027","2830","order","Coccosphaerales","1","131567","2759","2830","","73027","","","","",""
"73020","2830","order","Isochrysidales","1","131567","2759","2830","","73020","","","","",""
"73026","2830","order","Pavlovales","1","131567","2759","2830","","73026","","","","",""
"418919","2830","order","Phaeocystales","1","131567","2759","2830","","418919","","","","",""
"73028","2830","order","Prymnesiales","1","131567","2759","2830","","73028","","","","",""
"483366","73026","below_order","unclassified Pavlovales","1","131567","2759","2830","","73026","483366","","","",""
"418931","418917","family","Calcidiscaceae","1","131567","2759","2830","","418917","","418931","","",""
"1136790","73028","family","Chrysochromulinaceae","1","131567","2759","2830","","73028","","1136790","","",""
"418933","418917","family","Coccolithaceae","1","131567","2759","2830","","418917","","418933","","",""
"418951","73020","family","Isochrysidaceae","1","131567","2759","2830","","73020","","418951","","",""
"418966","73020","family","Noelaerhabdaceae","1","131567","2759","2830","","73020","","418966","","",""
"418969","73026","family","Pavlovaceae","1","131567","2759","2830","","73026","","418969","","",""
"418920","418919","family","Phaeocystaceae","1","131567","2759","2830","","418919","","418920","","",""
"418918","418917","family","Pleurochrysidaceae","1","131567","2759","2830","","418917","","418918","","",""
"418967","73028","family","Prymnesiaceae","1","131567","2759","2830","","73028","","418967","","",""
"127548","418931","genus","Calcidiscus","1","131567","2759","2830","","418917","","418931","127548","",""
"35140","1136790","genus","Chrysochromulina","1","131567","2759","2830","","73028","","1136790","35140","",""
"259384","1538618","genus","Chrysoculter","1","131567","2759","2830","1538618","","","","259384","",""
"97491","418933","genus","Coccolithus","1","131567","2759","2830","","418917","","418933","97491","",""
"2902","418966","genus","Emiliania","1","131567","2759","2830","","73020","","418966","2902","",""
"119496","418969","genus","Exanthemachrysis","1","131567","2759","2830","","73026","","418969","119496","",""
"38816","418966","genus","Gephyrocapsa","1","131567","2759","2830","","73020","","418966","38816","",""
"1090112","418967","genus","Haptolina","1","131567","2759","2830","","73028","","418967","1090112","",""
"97494","418967","genus","Imantonia","1","131567","2759","2830","","73028","","418967","97494","",""
"37098","418951","genus","Isochrysis","1","131567","2759","2830","","73020","","418951","37098","",""
"2831","418969","genus","Pavlova","1","131567","2759","2830","","73026","","418969","2831","",""
"33656","418920","genus","Phaeocystis","1","131567","2759","2830","","418919","","418920","33656","",""
"13220","418918","genus","Pleurochrysis","1","131567","2759","2830","","418917","","418918","13220","",""
"418939","73027","genus","Pontosphaeraceae","1","131567","2759","2830","","73027","","","418939","",""
"35143","418967","genus","Prymnesium","1","131567","2759","2830","","73028","","418967","35143","",""
"127549","127548","species","Calcidiscus leptoporus","1","131567","2759","2830","","418917","","418931","127548","127549",""
"412157","35140","species","Chrysochromulina rotalis","1","131567","2759","2830","","73028","","1136790","35140","412157",""
"259385","259384","species","Chrysoculter rhomboideus","1","131567","2759","2830","1538618","","","","259384","259385",""
"221442","97491","species","Coccolithus braarudii","1","131567","2759","2830","","418917","","418933","97491","221442",""
"2903","2902","species","Emiliania huxleyi","1","131567","2759","2830","","73020","","418966","2902","2903",""
"119497","119496","species","Exanthemachrysis gayraliae","1","131567","2759","2830","","73026","","418969","119496","119497",""
"38817","38816","species","Gephyrocapsa oceanica","1","131567","2759","2830","","73020","","418966","38816","38817",""
"156173","1090112","species","Haptolina brevifila","1","131567","2759","2830","","73028","","418967","1090112","156173",""
"156174","1090112","species","Haptolina ericina","1","131567","2759","2830","","73028","","418967","1090112","156174",""
"97495","97494","species","Imantonia rotunda","1","131567","2759","2830","","73028","","418967","97494","97495",""
"37099","37098","species","Isochrysis galbana","1","131567","2759","2830","","73020","","418951","37098","37099",""
"40639","37098","species","Isochrysis sp.","1","131567","2759","2830","","73020","","418951","37098","40639",""
"44452","2831","species","Pavlova gyrans","1","131567","2759","2830","","73026","","418969","2831","44452",""
"2832","2831","species","Pavlova lutheri","1","131567","2759","2830","","73026","","418969","2831","2832",""
"298111","2831","species","Pavlova sp. CCMP459","1","131567","2759","2830","","73026","","418969","2831","298111",""
"483367","483366","species","Pavlovales sp. CCMP2436","1","131567","2759","2830","","73026","483366","","","483367",""
"33657","33656","species","Phaeocystis antarctica","1","131567","2759","2830","","418919","","418920","33656","33657",""
"118079","33656","species","Phaeocystis cordata","1","131567","2759","2830","","418919","","418920","33656","118079",""
"13221","13220","species","Pleurochrysis carterae","1","131567","2759","2830","","418917","","418918","13220","13221",""
"97485","35143","species","Prymnesium parvum","1","131567","2759","2830","","73028","","418967","35143","97485",""
"72548","35143","species","Prymnesium polylepis","1","131567","2759","2830","","73028","","418967","35143","72548",""
"418940","418939","species","Scyphosphaera apsteinii","1","131567","2759","2830","","73027","","","418939","418940",""
"280463","2903","below_species","Emiliania huxleyi CCMP1516","1","131567","2759","2830","","73020","","418966","2902","2903","280463"
