"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","kingdom","subkingdom","phylum","below_phylum","below_below_phylum","below_below_below_phylum","below_below_below_below_phylum","below_below_below_below_below_phylum","below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_below_phylum","subphylum","class","below_class","subclass","below_subclass","order","below_order","suborder","family","below_family","subfamily","tribe","genus","below_genus","species","below_species","varietas"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33634","2759","below_superkingdom","Stramenopiles","1","131567","2759","33634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"569578","33634","below_below_superkingdom","PX clade","1","131567","2759","33634","569578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4751","33154","kingdom","Fungi","1","131567","2759","33154","","4751","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33090","2759","kingdom","Viridiplantae","1","131567","2759","","","33090","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451864","4751","subkingdom","Dikarya","1","131567","2759","33154","","4751","451864","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2836","33634","phylum","Bacillariophyta","1","131567","2759","33634","","","","2836","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5204","451864","phylum","Basidiomycota","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91989","33634","phylum","Bolidophyceae","1","131567","2759","33634","","","","91989","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157124","33634","phylum","Pinguiophyceae","1","131567","2759","33634","","","","157124","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35493","33090","phylum","Streptophyta","1","131567","2759","","","33090","","35493","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2833","569578","phylum","Xanthophyceae","1","131567","2759","33634","569578","","","2833","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131221","35493","below_phylum","Streptophytina","1","131567","2759","","","33090","","35493","131221","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3193","131221","below_below_phylum","Embryophyta","1","131567","2759","","","33090","","35493","131221","3193","","","","","","","","","","","","","","","","","","","","","","","","",""
"58023","3193","below_below_below_phylum","Tracheophyta","1","131567","2759","","","33090","","35493","131221","3193","58023","","","","","","","","","","","","","","","","","","","","","","","",""
"78536","58023","below_below_below_below_phylum","Euphyllophyta","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","","","","","","","","","","","","","","","","","","","","","","",""
"58024","78536","below_below_below_below_below_phylum","Spermatophyta","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","","","","","","","","","","","","","","","","","","","","","",""
"3398","58024","below_below_below_below_below_below_phylum","Magnoliophyta","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","","","","","","","","","","","","","","","","","","","","",""
"1437183","3398","below_below_below_below_below_below_below_phylum","Mesangiospermae","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","","","","","","","","","","","","","","","","","","","",""
"71240","1437183","below_below_below_below_below_below_below_below_phylum","eudicotyledons","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","","","","","","","","","","","","","","","","","","",""
"91827","71240","below_below_below_below_below_below_below_below_below_phylum","Gunneridae","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","","","","","","","","","","","","","","","","","",""
"1437201","91827","below_below_below_below_below_below_below_below_below_below_phylum","Pentapetalae","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","1437201","","","","","","","","","","","","","","","","",""
"5302","5204","subphylum","Agaricomycotina","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","5302","","","","","","","","","","","","","","","",""
"155619","5302","class","Agaricomycetes","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","5302","155619","","","","","","","","","","","","","","",""
"33849","2836","class","Bacillariophyceae","1","131567","2759","33634","","","","2836","","","","","","","","","","","","33849","","","","","","","","","","","","","","",""
"2825","33634","class","Chrysophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","","","","","","","","","","","",""
"39119","33634","class","Dictyochophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","","","","","","","","","","","",""
"35131","33634","class","Labyrinthulomycetes","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","","","","","","","","","","","","","","",""
"4762","33634","class","Oomycetes","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","","","","","","","","","","","",""
"35675","33634","class","Pelagophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","","","","","","","","","","","","","","",""
"38410","33634","class","Raphidophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","","","","","","","","","","","",""
"557229","33634","class","Synchromophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","557229","","","","","","","","","","","","","","",""
"33859","33634","class","Synurophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","33859","","","","","","","","","","","","","","",""
"33850","33849","below_class","Bacillariophycidae","1","131567","2759","33634","","","","2836","","","","","","","","","","","","33849","33850","","","","","","","","","","","","","",""
"96638","35131","below_class","unclassified Labyrinthulomycetes","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","96638","","","","","","","","","","","","","",""
"114041","35675","below_class","unclassified Pelagophyceae","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","114041","","","","","","","","","","","","","",""
"452333","155619","subclass","Agaricomycetidae","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","5302","155619","","452333","","","","","","","","","","","","",""
"71274","1437201","subclass","asterids","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","1437201","","","","71274","","","","","","","","","","","","",""
"91888","71274","below_subclass","lamiids","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","1437201","","","","71274","91888","","","","","","","","","","","",""
"33651","33634","order","Bicosoecida","1","131567","2759","33634","","","","","","","","","","","","","","","","","","","","33651","","","","","","","","","","",""
"68889","452333","order","Boletales","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","5302","155619","","452333","","68889","","","","","","","","","","",""
"658125","38410","order","Chattonellales","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","","","","","","","","",""
"96792","2825","order","Chromulinales","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","","","","","","","","",""
"35685","39119","order","Dictyochales","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","35685","","","","","","","","","","",""
"590977","39119","order","Florenciellales","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","590977","","","","","","","","","","",""
"4143","91888","order","Lamiales","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","1437201","","","","71274","91888","4143","","","","","","","","","","",""
"38748","33850","order","Naviculales","1","131567","2759","33634","","","","2836","","","","","","","","","","","","33849","33850","","","38748","","","","","","","","","","",""
"98652","33859","order","Ochromonadales","1","131567","2759","33634","","","","","","","","","","","","","","","","33859","","","","98652","","","","","","","","","","",""
"35680","39119","order","Pedinellales","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","35680","","","","","","","","","","",""
"54409","35675","order","Pelagomonadales","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","","","","54409","","","","","","","","","","",""
"4776","4762","order","Peronosporales","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","","","","",""
"1004267","157124","order","Pinguiochrysidales","1","131567","2759","33634","","","","157124","","","","","","","","","","","","","","","","1004267","","","","","","","","","","",""
"590978","39119","order","Rhizochromulinales","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","590978","","","","","","","","","","",""
"45651","35675","order","Sarcinochrysidales","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","","","","45651","","","","","","","","","","",""
"420622","33859","order","Synurales","1","131567","2759","33634","","","","","","","","","","","","","","","","33859","","","","420622","","","","","","","","","","",""
