"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","below_below_below_below_below_kingdom","subkingdom","phylum","below_phylum","below_below_phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","below_below_below_below_below_subphylum","below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_subphylum","superclass","class","below_class","below_below_class","below_below_below_class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","superorder","below_superorder","order","below_order","suborder","below_suborder","family","subfamily","genus","subgenus","species","below_species","varietas","below_varietas"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4751","33154","kingdom","Fungi","1","131567","2759","33154","4751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","2759","33154","33208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","2759","33154","33208","6072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","2759","33154","33208","6072","33213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33511","33213","below_below_below_kingdom","Deuterostomia","1","131567","2759","33154","33208","6072","33213","33511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33317","33213","below_below_below_kingdom","Protostomia","1","131567","2759","33154","33208","6072","33213","33317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206794","33317","below_below_below_below_kingdom","Ecdysozoa","1","131567","2759","33154","33208","6072","33213","33317","1206794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206795","33317","below_below_below_below_kingdom","Lophotrochozoa","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88770","1206794","below_below_below_below_below_kingdom","Panarthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451864","4751","subkingdom","Dikarya","1","131567","2759","33154","4751","","","","","","451864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6340","1206795","phylum","Annelida","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6656","88770","phylum","Arthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4890","451864","phylum","Ascomycota","1","131567","2759","33154","4751","","","","","","451864","4890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7711","33511","phylum","Chordata","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4761","4751","phylum","Chytridiomycota","1","131567","2759","33154","4751","","","","","","","4761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6073","6072","phylum","Cnidaria","1","131567","2759","33154","33208","6072","","","","","","6073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6447","1206795","phylum","Mollusca","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6040","33208","phylum","Porifera","1","131567","2759","33154","33208","","","","","","","6040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197563","6656","below_phylum","Mandibulata","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"716545","4890","below_phylum","saccharomyceta","1","131567","2759","33154","4751","","","","","","451864","4890","716545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197562","197563","below_below_phylum","Pancrustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89593","7711","subphylum","Craniata","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6657","197562","subphylum","Crustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","6657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147537","716545","subphylum","Saccharomycotina","1","131567","2759","33154","4751","","","","","","451864","4890","716545","","147537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7712","7711","subphylum","Tunicata","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","7712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7742","89593","below_subphylum","Vertebrata","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7776","7742","below_below_subphylum","Gnathostomata","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117570","7776","below_below_below_subphylum","Teleostomi","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117571","117570","below_below_below_below_subphylum","Euteleostomi","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8287","117571","below_below_below_below_below_subphylum","Sarcopterygii","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1338369","8287","below_below_below_below_below_below_subphylum","Dipnotetrapodomorpha","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32523","1338369","below_below_below_below_below_below_below_subphylum","Tetrapoda","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32524","32523","below_below_below_below_below_below_below_below_subphylum","Amniota","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","","","","","","","","","","","","","","","","","","","","","","","",""
"7898","117571","superclass","Actinopterygii","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","","","","","","","","","","","","","","","","","","","","","","","",""
"186623","7898","class","Actinopteri","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","","","","","","","","","","","","","","","","","","","",""
"6101","6073","class","Anthozoa","1","131567","2759","33154","33208","6072","","","","","","6073","","","","","","","","","","","","","6101","","","","","","","","","","","","","","","","","","","","","","",""
"30302","7712","class","Appendicularia","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","7712","","","","","","","","","","30302","","","","","","","","","","","","","","","","","","","","","","",""
"6605","6447","class","Cephalopoda","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6447","","","","","","","","","","","","","6605","","","","","","","","","","","","","","","","","","","","","","",""
"451435","4761","class","Chytridiomycetes","1","131567","2759","33154","4751","","","","","","","4761","","","","","","","","","","","","","451435","","","","","","","","","","","","","","","","","","","","","","",""
"6042","6040","class","Demospongiae","1","131567","2759","33154","33208","","","","","","","6040","","","","","","","","","","","","","6042","","","","","","","","","","","","","","","","","","","","","","",""
